ArtistId,AlbumId
6vWDO969PvNqNYHIOW5v0m,06v9eHnqhMK2tbM2Iz3p0Y
5uY55OOyTWBWSd7iRTbHXb,06ZdfrKPqzWw0Gi6PWuuk0
5MKqWyqq5CStK7AhkTvzQF,073y7G58ZFRONbJJSYiwwC
5WUlDfRSoLAfcVSX1WnrxN,077wcp5NLTdkFGSAttyfmG
0Jeckitay8SbvKwqAzWuYH,079QiYtMEMsGPv0TNAWZPe
6AyATGg7mDgBlZ4N5uNog0,07BjMpBxclPOACUN07NDZy
1uKR3ihZmv8a93heLPYKQ8,07cHGWeqIEFw9xbwM6SZtd
73A3bLnfnz5BoQjb4gNCga,07cuUo0ZpLPyxrN0sSzeWT
7dGJo4pcD2V6oG8kP0tJRR,07d5gKKyeWA07kZ3b91UBa
1f5GqyOPo0CkotzzRwviBu,07fcZXkBS0y4Y80GT60PZq
2eQoWrMAVomftJQMFnZ6iE,07FGobJmgy1u0upXgEf0Me
2KjAo6wVc9d2WcxdxSArpV,07FGobJmgy1u0upXgEf0Me
5TNmizItgJPfvCoPKXAMGz,07gXWexIqgcoBg01fFgU8Y
0m8rUYGZIXTo8knUYP7uB9,07hOPh6UncojhZjIj6dvdo
6xIqjzoZj0oQSvszWQ9Mvv,07ig4qt81sZLbNig2sMimU
0Ya43ZKWHTKkAbkoJJkwIB,07jKdMs5gxb6sl1iWTVWwM
1JOEj74jm8CQfezZxAKTCF,07kVclYFQOkYH4SYxWkqUG
4PULA4EFzYTrxYvOVlwpiQ,07LkboydJU8NSoNXkviZfJ
0UF7XLthtbSF2Eur7559oV,07nBld9enf1PyRysZAVSqJ
5eEvryTY26XZty7pmaca2q,07NRSnkhH3BefnYPCfmWdw
7FqkRutc4zWMrnEAUv3Xwd,07OfmGOTVRjl9KmGNM1izU
4ghjRm4M2vChDfTUycx0Ce,07p455bkTGRgXeYXi52GyU
70cRZdQywnSFp9pnc2WTCE,07RAGILF28QweYQSZasr5k
4sLklwvfOYr12fMGwrnlc7,07rHeapdl0AM5vNgtn5wpq
0vEsuISMWAKNctLlUAhSZC,07RHn8QzNSAJxWarDGNIqC
6sa0lNcq7YdXNnQKZHFb0D,07sS8e5gtXTt70It4bKe7M
491cHKkjRVcGaChy40l4Bh,07TPMndaOSr1CwIRdrjtcz
7xX3z4IGnGRkoD9nmf8aR3,07TPMndaOSr1CwIRdrjtcz
7uuvPwRD3I1UHDPNnbaY6C,07UlPMyJylAg1GiWhKGZfk
6umiyvedM3UIlvRWaGe4HA,07UTHovmXYvheYrEW3Ogpj
2UjQMEOzrwt2v4L3dNrcqe,07uVGssx4qgJDsJAgepdsO
1Y8cdNmUJH7yBTd9yOvr5i,07VaUZTGPRduQXqPAmG35e
0SCbttzoZTnLFebDYmAWCm,082BH67sSIDefLxUp8GgNm
3zz8PxJE0tBfUqcZbf3SZS,082N9ySa5hlkvLR5oTW8q1
1TK7taesKnlI7YLjixzt17,0873DFNntH1AvLOag7zc0G
1RI0qwvjL6cC1dIPxrrjwP,087eJ8k24KFXHfjiRHd6tW
2leLOUpqlp2g65Guf8IqEv,08aotpzTZW1lGuyqLAu9CA
3dKjmeRZcSUw617CoMzEA0,08C6CGaUbFnKPWa4U5Er7G
491U1PrV1EoQuhM0aUCn9r,08C6CGaUbFnKPWa4U5Er7G
5r3fI2q1YU3QyVP7oncOQ9,08C6CGaUbFnKPWa4U5Er7G
06HL4z0CvFAxyc27GXpf02,08CWGiv27MVQhYpuTtvx83
6JL8zeS1NmiOftqZTRgdTz,08eweM0IZoZPCCxODbrMoL
1SQRv42e4PjEYfPhS0Tk9E,08G3mGQXuHItbbsFAz50gJ
4SkLPRjzPXh6d5n32Vypy5,08gaJDLvSafVxpaaZCo9Pm
5hzFTGZcy6Rqme2qNC2vUm,08Hvk98yQRk0vukE4UC1x2
2wY79sveU1sp5g7SokKOiI,08jWgM4vSkTose4blKBWov
2VXIKojJeuVC7NyOQs4JlE,08LEDePwn31Tmz5xmWsA3F
23fqKkggKUBHNkbKtXEls4,08lvNATRudyG5K7eEjWk1t
0LyfQWJT6nXafLPZqxe9Of,08udchsqtOyUPlJdDOSAPm
0LyfQWJT6nXafLPZqxe9Of,08vbtZx1gcwDPnLqCP8UGE
3JhRHqCi8HEzkJVWt19LtN,08zWo4xb7GZ5e3dyUOUAmm
1URnnhqYAYcrqrcwql10ft,091cZVoTJrlORPHFyuJQFi
4TEJudQY2pXxVHPE3gD2EU,091cZVoTJrlORPHFyuJQFi
33XkS6h90eeK7e6OJHw0mq,0963505kg714S5rqZwKZ9I
5ghUUQxtMMankpzWRxckkI,0971OYZtfCZfegzT2TDmqh
6Q192DXotxtaysaqNPy5yR,097eYvf9NKjFnv4xA9s2oV
6yby1ACnfwVigbSSaH3kEQ,098HLootwZhtwaAhNiKO3V
5wZOrGWdg4hq7KIRMupJdI,099BTOPRjbK5l6bCNfx4bM
2mVVjNmdjXZZDvhgQWiakk,09AkhNYWocEZWbeYl1YBf7
0n7CYdHaJm01NFXRhwbbKs,09du8TXw7b4n3qPUEhJ2tS
2r3HmBK84dHpMW5WFNdWNP,09fM9j1snqcWjYwRNZHkoG
1IueXOQyABrMOprrzwQJWN,09HjPVfr4M5459JTUgnjM9
66TrUkUZ3RM29dqeDQRgyA,09HjPVfr4M5459JTUgnjM9
6JL8zeS1NmiOftqZTRgdTz,09HjPVfr4M5459JTUgnjM9
0EuRHFIHSiQg7W5IWqLcp1,09jS3FHbC86NziXV8sC9Zz
38h03gA85YYPeDPd9ER9rT,09jTPeDoSuJLLAwFGNUKCX
3sa5sqxJqYjDZhGxmo4Ko5,09JyAk5hfkLDuue2STHPuq
74rMmQsvAZLs9iQkz5QbXb,09l9Q6PIAwh0HVEEZMZEjq
0LyfQWJT6nXafLPZqxe9Of,09oO7P33hVe8zHrgYQkL9U
02kJSzxNuaWGqwubyUba0Z,09Q3WwGYsQe5ognkvVkmCu
5kNZV33crEsk2IMZMJ8bOQ,09rCHELhjgKrNyoWePQHm9
50y0b4AuxvWpH2jlNqGMmg,09RIbV6S3HOn3OGmwc0DDv
4Peqx8CmkLiHHRCfm3HR7G,09roJtL9P1tbj27YITjWpf
1IueXOQyABrMOprrzwQJWN,09uJvEy1F5GwvazqSQcYyB
66TrUkUZ3RM29dqeDQRgyA,09uJvEy1F5GwvazqSQcYyB
6JL8zeS1NmiOftqZTRgdTz,09uJvEy1F5GwvazqSQcYyB
69NjLU6rit8q9XEjL50BOj,09xoxcs7kOCDCRkoFeFVNa
5Do19ow5oRPYYU46jqdkwh,09YAng6bZ2wJVcL3MWVCri
3S0tlB4fE7ChxI2pWz8Xip,0a1J2oCvOyL3lfqgG0ViyT
58WvZd2YS4otyV7EOVhHQF,0a2P7JEfmQs2uQXgQ2gkLX
562Od3CffWedyz2BbeYWVn,0a3YQpBnRzJzNktOjb6Dum
3S4iELponYOrmaCMbvFdHC,0A3ZjOnHI0wMbXmIEeBAhk
4k1ELeJKT1ISyDv8JivPpB,0a74bJnVgvqdY98xn00XE0
3Fobin2AT6OcrkLNsACzt4,0A9H0uAwdTCWNofsksO2fX
2w5q7SKsUmpdUuyf5HOA2c,0AAnygIH8lgCunckPm4Kjz
3zZw7SJZFWJURkchuzBFTX,0AAnygIH8lgCunckPm4Kjz
4gGGFclZZyED2i5BgzGAlD,0AAnygIH8lgCunckPm4Kjz
0zOcE3mg9nS6l3yxt1Y0bK,0abkVfZF9JpWbHA1Cm2Jgq
4QDvXnbmw1znkqkK1119Fc,0abR9QPs48rvmV9bvDYhR1
22bE4uQ6baNwSHPVcDxLCe,0ACOqjq9mQuCZry2kj5zkB
7bu3H8JO7d0UbMoVzbo70s,0aEL0zQ4XLuxQP0j7sLlS1
0CP2yDO5i5Q2G1fRj6C8JV,0AEmSmxH6x0fwsNqigOxOW
3dwkO7z23scCJppeqHGTy3,0aEwd2W5jVyh5LVovvIsYZ
4z4m1P0iX2nRSPDBEZ8LBT,0AfxLyEBIIa3SuRsQl6nvL
4GITZM5LCR2KcdlgEOrNLD,0AFXSZYiYyggIkcYW5GK0x
0LyfQWJT6nXafLPZqxe9Of,0aGEy3E7XiwIZxREKtEMb6
7BxJEL8I7OoAMGyPWn1cPS,0aICyOA2b1l0eR6GwkFBT1
20s0P9QLxGqKuCsGwFsp7w,0aihmuRLi1gBkxk4mbNfcv
5lkiCO9UQ8B23dZ1o0UV4m,0aiTqo8YZI0dKDgcCnkkzP
1P8IfcNKwrkQP5xJWuhaOC,0AJaRBLPuUybHfdJi87GQP
0LyfQWJT6nXafLPZqxe9Of,0Ajwqb746Owv6ALnMWBiGI
1r1uxoy19fzMxunt3ONAkG,0AkAmg94XyiHODJaiGHh9O
